ticker	lastOpen	lastClose	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price
ZDGE	2.92	2.86	-	43.99M	7.70M	24.40M	2.73	1.11	-	-	51	Yes	Yes	2.00	5.73	-	-	1.80	1.05	2.57	3.36	1.50	1.50	0.00	0.00	-20.36%	0.50	-0.25	-0.09	-18.60%	-	40.90%	12.00%	17.00%	-67.90%	Jun 13 AMC	-36.22%	1.50%	5.38%	25.80%	17.00%	21.00%	24.80%	94.50%	37.40%	31.40%	0.00%	14.31M	12.11M	0.80%	1.11	13.00	2.58 - 19.90	-85.63%	10.85%	31.53	0.14	86.81K	-0.69%	-47.71%	-50.26%	-67.20%	-84.49%	-66.35%	1.27	0.30	6.06% 9.05%	2.93	13.00
BIRD	4.63	4.92	-	690.28M	-53.70M	290.60M	2.58	1.71	-	-	710	Yes	Yes	1.80	-	-	-	2.38	1.91	2.88	-	4.80	6.90	0.00	0.00	9.26%	-0.36	-0.36	-0.15	-75.20%	-	-	-	26.60%	-61.10%	May 10 AMC	2.13%	0.80%	7.16%	46.90%	-15.10%	-31.30%	-8.50%	52.80%	-14.60%	-18.50%	-	147.53M	92.92M	6.31%	2.15	9.10	3.64 - 32.44	-84.83%	34.98%	56.18	1.03	2.73M	25.19%	-9.06%	-14.14%	-63.74%	-	-67.37%	-	0.37	8.78% 8.27%	4.65	9.10
PAAS	19.16	18.92	-	4.01B	181.70M	1.70B	12.75	1.54	0.40	2.11%	7100	Yes	Yes	2.00	21.92	14.87	1.28	2.36	1.48	12.30	43.64	1.40	2.70	0.02	0.01	-9.50%	0.86	1.27	0.38	-45.30%	17.14%	-6.70%	16.10%	19.50%	-91.70%	May 11 AMC	-14.84%	1.60%	0.00%	60.90%	5.20%	6.90%	6.50%	20.20%	19.80%	10.70%	39.40%	210.46M	210.26M	2.20%	2.12	-	18.16 - 30.53	-38.03%	4.18%	35.28	0.74	2.19M	-3.81%	-18.52%	-30.58%	-19.56%	-31.26%	-24.10%	1.25	1.03	5.55% 4.90%	19.11	-
LPG	14.62	14.65	-	583.22M	71.90M	274.20M	23.06	-	10.00	68.26%	79	Yes	Yes	1.90	8.18	8.60	0.55	2.13	0.64	-	10.49	3.20	3.20	0.72	0.64	-4.25%	1.79	1.70	0.61	-4.10%	15.00%	133.10%	10.40%	-20.10%	-4.80%	May 26 BMO	-4.68%	5.80%	-36.92%	73.40%	4.60%	7.80%	5.80%	92.50%	33.70%	26.20%	0.00%	39.90M	34.61M	4.41%	2.02	18.67	8.54 - 18.44	-20.55%	71.59%	45.00	0.39	757.11K	-3.62%	-19.06%	14.92%	34.73%	56.20%	44.50%	1.07	0.76	4.76% 4.70%	14.53	18.67
CTVA	53.08	52.73	S&P 500	38.25B	1.78B	16.08B	35.35	3.20	0.56	1.06%	21000	Yes	Yes	2.30	21.93	17.84	1.25	2.38	1.49	16.48	41.13	1.10	1.60	0.08	0.04	-3.96%	2.40	2.96	1.47	149.40%	17.55%	29.80%	2.40%	10.10%	-3.50%	Aug 04 AMC	-7.75%	0.10%	-8.05%	82.10%	4.10%	6.80%	2.00%	40.80%	7.90%	10.70%	23.40%	727.00M	725.92M	1.09%	1.66	63.17	40.60 - 64.03	-17.65%	29.88%	39.14	0.54	4.77M	-2.60%	-15.47%	-9.16%	11.62%	22.91%	11.53%	-	1.71	2.86% 2.88%	52.85	63.17
DX	16.09	16.16	-	929.85M	93.80M	63.60M	18.46	7.94	1.56	9.65%	19	Yes	Yes	2.20	6.87	10.64	-	14.62	0.88	2.03	9.57	-	-	4.40	0.04	3.60%	2.35	1.52	0.42	-59.90%	-5.88%	6.00%	-8.20%	25.20%	-26.00%	Jul 25 BMO	1.19%	1.50%	2.67%	25.70%	2.60%	14.10%	2.90%	90.90%	-	-	65.30%	36.73M	36.05M	3.59%	1.30	17.75	13.96 - 18.64	-13.30%	15.76%	55.71	1.11	998.58K	1.51%	-0.12%	2.41%	-3.23%	-11.26%	-3.29%	1.05	0.39	1.94% 2.73%	16.10	17.75
AGYS	50.37	50.16	-	1.26B	4.60M	162.60M	3.98	3.86	-	-	1400	Yes	Yes	2.30	275.60	48.23	5512.09	7.76	12.60	13.01	46.21	1.80	1.90	0.00	0.00	16.30%	0.18	1.04	0.18	118.10%	0.05%	18.70%	5.00%	28.40%	105.60%	May 17 AMC	25.30%	4.70%	-1.72%	-	2.30%	5.10%	6.50%	62.40%	3.90%	2.90%	0.00%	24.48M	23.43M	2.27%	5.23	54.00	31.49 - 59.34	-15.47%	59.29%	70.25	0.77	101.94K	6.11%	16.06%	27.73%	16.81%	-9.93%	12.82%	1.18	2.01	4.04% 4.87%	50.99	54.00
MARPS	7.5	7.52	-	14.59M	0.90M	1.10M	0.56	0.57	0.48	6.33%	-	No	Yes	-	17.01	-	-	13.26	13.43	13.26	48.63	-	-	0.00	0.00	-0.82%	0.44	-	-	-71.90%	-	-25.60%	-15.60%	400.00%	3556.70%	-	-2.42%	19.00%	0.00%	4.10%	89.70%	89.70%	18.00%	-	79.10%	79.80%	69.50%	2.00M	1.61M	3.13%	0.29	-	3.75 - 32.00	-76.50%	100.53%	49.25	0.16	174.09K	1.08%	-18.79%	-10.26%	69.75%	67.86%	74.90%	0.60	0.89	8.78% 11.77%	7.29	-
ELYM	3.53	3.71	-	95.09M	-45.50M	-	5.91	4.83	-	-	37	No	Yes	1.70	-	-	-	-	0.63	0.77	-	19.30	19.30	0.00	0.00	-4.81%	-1.89	-1.82	-0.56	-368.80%	-	-	-	-	35.20%	May 16 BMO	0.90%	0.70%	0.00%	72.70%	-29.10%	-40.70%	-	-	-	-	-	26.24M	17.75M	4.26%	3.45	24.00	2.52 - 29.69	-87.50%	47.22%	48.68	0.15	218.83K	22.85%	-19.17%	-55.30%	-71.79%	-	-64.53%	-	0.52	12.04% 14.90%	3.58	24.00
CRTO	23.65	23.66	-	1.45B	132.60M	2.22B	19.24	10.15	-	-	2781	Yes	Yes	2.20	11.42	7.29	-	0.65	1.23	2.33	9.37	2.00	2.00	0.00	0.00	-2.66%	2.07	3.25	0.47	80.50%	-4.87%	10.80%	4.60%	-5.60%	-7.40%	May 04 BMO	-5.57%	1.40%	-0.76%	96.70%	7.00%	11.60%	11.70%	35.40%	6.50%	6.00%	0.00%	60.74M	57.83M	6.09%	12.14	45.62	22.53 - 45.35	-47.83%	4.99%	44.34	0.20	290.08K	-3.03%	-10.24%	-10.41%	-34.46%	-46.78%	-39.13%	0.92	1.04	4.58% 4.25%	23.98	45.62
GOOD	19.07	19.11	-	792.30M	-1.30M	138.50M	5.63	0.23	1.50	7.88%	-	Yes	Yes	1.80	-	-	-	5.72	3.39	82.53	-	-	-	3.31	3.31	1.84%	-0.04	-0.03	0.00	-234.70%	6.00%	4.80%	9.80%	2.30%	110.30%	-	-2.21%	0.20%	-1.51%	49.90%	-0.10%	-0.60%	4.10%	76.40%	28.40%	-0.90%	-	37.90M	35.13M	2.28%	3.35	23.60	17.73 - 26.13	-26.86%	7.78%	50.08	0.64	238.60K	1.43%	-4.88%	-15.25%	-24.47%	-13.76%	-25.84%	1.01	0.47	2.02% 2.58%	18.97	23.60
ALYA	2.25	2.28	-	266.10M	-15.50M	437.90M	2.23	0.15	-	-	3700	No	Yes	-	-	13.41	-	0.61	1.02	15.03	-	1.20	1.20	0.64	0.53	-6.74%	-0.18	0.17	-	38.80%	15.00%	4.80%	28.20%	53.80%	-87.50%	Jun 17 BMO	-1.54%	2.30%	0.00%	74.60%	-4.00%	-8.20%	-3.30%	25.40%	-3.20%	-3.60%	-	89.50M	67.40M	0.02%	1.34	-	2.00 - 3.36	-32.14%	14.00%	43.28	0.82	8.67K	-5.39%	-16.48%	-10.24%	-7.32%	-21.51%	-10.59%	0.81	0.12	4.41% 4.86%	2.23	-
OCGN	2.7	3.1	-	590.89M	-69.30M	-	0.64	0.68	-	-	56	Yes	Yes	2.50	-	-	-	-	4.84	4.55	-	18.00	18.00	0.00	0.01	34.20%	-0.35	-0.34	-0.01	2.30%	-	65.20%	-	-	-130.60%	May 06 BMO	37.64%	0.40%	-29.03%	39.70%	-56.80%	-61.50%	-	-	-	-	-	205.69M	195.67M	27.95%	7.78	7.60	1.67 - 17.65	-82.44%	85.63%	68.77	1.34	7.03M	36.56%	24.50%	-2.82%	-25.84%	-58.67%	-31.87%	4.47	0.23	11.09% 9.45%	2.74	7.60
RRR	33.33	32.91	-	3.59B	355.00M	1.67B	1.44	3.08	1.00	3.04%	7800	Yes	Yes	2.50	10.62	13.88	-	2.15	22.85	10.67	9.15	1.90	2.00	32.45	32.15	-4.82%	3.10	2.37	0.54	197.40%	-	-5.00%	2.20%	13.90%	149.00%	May 03 AMC	-12.20%	1.00%	0.00%	97.30%	10.60%	170.80%	15.70%	65.60%	35.90%	21.30%	4.70%	61.01M	56.60M	6.14%	4.86	53.50	31.58 - 55.84	-41.06%	4.21%	40.25	0.67	714.93K	-1.35%	-19.32%	-25.36%	-34.91%	-12.83%	-40.17%	2.29	1.61	4.37% 4.92%	33.42	53.50
NZF	12.92	12.99	-	1.85B	 Fund Stock Quote	150.13M	16.98	-	0.70	5.39%	-	No	Yes	-	4.32	-	-	12.30	0.77	-	-	-	-	-	-	4.25%	3.00	-	-	-	-	-	-	-7.60%	-75.00%	-	1.82%	-	-	11.29%	-	-	-	-	-	-	-	142.13M	-	-	0.10	-	11.93 - 17.51	-25.82%	8.89%	61.44	0.45	589.19K	3.42%	-2.41%	-7.00%	-22.10%	-25.31%	-23.69%	-	0.20	1.35% 1.48%	12.92	-
GRF	8.95	8.86	-	35.98M	-	0.67M	11.05	-	0.97	10.94%	-	No	Yes	-	2.68	-	-	53.87	0.80	-	-	-	-	-	-	1.91%	3.31	-	-	-	-	-	-	-1.30%	-63.30%	-	-6.21%	12.51%	0.04%	1.83%	-	-	-	-	-	-	-	4.06M	-	-	1.31	-	7.79 - 11.25	-21.20%	13.80%	49.97	0.10	8.73K	7.45%	-5.69%	-5.19%	2.37%	7.55%	-6.78%	-	0.30	0.37% 2.19%	9.03	-
SBGI	20.7	21.04	-	1.47B	2.15B	5.91B	10.60	7.47	1.00	4.75%	11500	Yes	Yes	2.50	0.70	24.13	-	0.25	1.98	2.82	3.20	2.40	2.40	5.75	5.70	2.14%	29.99	0.87	-1.07	80.60%	-	-34.00%	18.50%	-14.80%	-	Aug 03 BMO	-6.58%	2.30%	0.00%	80.80%	19.50%	-206.00%	2.10%	31.90%	59.50%	37.00%	2.80%	72.16M	42.80M	7.12%	3.76	31.38	18.89 - 33.62	-37.42%	11.38%	48.10	1.05	811.04K	3.14%	-10.70%	-20.36%	-19.01%	-29.37%	-20.39%	1.33	0.90	3.94% 4.57%	20.75	31.38
SOND	1.12	1.07	-	247.71M	-	232.94M	0.62	1.76	-	-	1200	Yes	Yes	1.70	-	-	-	1.06	1.73	0.61	-	1.90	1.90	1.16	1.16	-20.21%	-	-0.49	-0.42	-17.60%	-	-	-	182.50%	130.90%	May 11 AMC	-50.27%	27.68%	0.00%	48.70%	-	-	46.80%	-	-	-	-	217.31M	157.87M	1.91%	2.93	3.75	0.92 - 10.88	-90.17%	16.65%	34.69	0.64	1.03M	2.88%	-41.53%	-76.69%	-89.26%	-89.18%	-89.27%	-	0.21	14.18% 15.16%	1.14	3.75
SNA	199.99	198.02	S&P 500	10.75B	845.30M	4.67B	80.49	15.87	5.68	2.87%	12800	Yes	Yes	2.70	12.83	12.08	2.79	2.30	2.46	12.48	22.14	2.30	3.20	0.28	0.28	-2.02%	15.43	16.40	3.93	30.40%	4.60%	10.20%	4.40%	6.50%	14.50%	Jul 21 BMO	-6.42%	1.60%	-2.18%	91.70%	12.50%	20.50%	16.30%	53.10%	24.60%	18.10%	33.70%	53.40M	52.49M	6.11%	8.74	238.33	190.08 - 235.36	-15.87%	4.18%	41.23	0.71	366.99K	0.50%	-11.87%	-4.51%	-9.63%	-11.50%	-8.06%	1.09	4.94	2.26% 2.48%	201.34	238.33
SOHO	1.98	2.03	-	36.40M	-26.80M	143.30M	1.22	1.13	-	-	10	No	Yes	2.00	-	-	-	0.25	1.66	1.80	4.99	-	-	17.41	17.41	18.99%	-1.65	-	0.11	46.90%	0.00%	-1.36%	-3.50%	69.90%	76.50%	May 12 BMO	13.88%	6.50%	0.12%	18.10%	-6.00%	-86.70%	-1.90%	67.20%	-1.00%	-18.70%	-	17.17M	15.22M	0.30%	0.74	3.00	1.48 - 2.96	-31.42%	37.16%	67.00	0.52	61.88K	16.67%	10.33%	-4.69%	-2.87%	-24.81%	-2.87%	1.65	0.12	6.64% 8.46%	2.01	3.00
LVRA	9.79	9.8	-	332.02M	11.10M	-	7.60	0.01	-	-	-	No	Yes	-	29.79	-	-	-	1.29	1660.12	-	1.20	1.20	0.00	0.00	0.10%	0.33	-	-	-	-	-	-	-	794.10%	-	0.07%	-	-	75.50%	-	-	-	-	-	-	-	33.91M	24.75M	0.01%	0.03	-	9.60 - 10.30	-4.85%	2.08%	51.73	0.01	64.22K	0.10%	0.41%	1.14%	0.41%	-	0.62%	-	0.06	1.22% 0.47%	9.79	-
CMMB	3.4	3.46	-	38.89M	-15.90M	-	80.30	1.23	-	-	20	No	Yes	1.70	-	-	-	-	0.04	2.82	-	16.90	16.90	0.00	0.00	-4.97%	-22.03	-2.59	-0.25	80.80%	-	-	-	-	-105.80%	May 12 BMO	4.94%	0.20%	195.91%	35.40%	-24.10%	-25.20%	-	-	-	-	-	11.24M	10.73M	0.08%	0.24	22.00	2.53 - 20.96	-83.49%	36.76%	47.97	1.23	37.74K	-6.49%	-16.63%	-20.28%	-48.66%	-81.06%	-49.86%	0.84	0.38	9.86% 10.81%	3.41	22.00
MTW	10.59	10.54	-	376.91M	17.20M	1.82B	18.83	1.44	-	-	4600	Yes	Yes	3.00	21.91	9.46	1.35	0.21	0.56	7.30	-	0.60	1.70	0.59	0.57	-5.19%	0.48	1.11	0.35	156.40%	16.24%	15.20%	1.30%	29.60%	197.90%	May 03 AMC	-12.14%	2.50%	4.79%	78.50%	1.00%	2.60%	3.80%	17.70%	2.90%	0.90%	0.00%	35.13M	34.38M	2.85%	4.00	17.83	9.97 - 27.37	-61.49%	5.72%	39.22	1.02	245.02K	0.09%	-22.67%	-23.90%	-44.79%	-52.54%	-43.30%	2.10	0.49	3.91% 4.20%	10.67	17.83
RFI	13.69	13.77	-	361.75M	-	8.15M	14.99	-	0.96	6.97%	-	No	Yes	-	3.64	-	-	44.39	0.92	-	-	-	-	-	-	3.73%	3.78	-	-	-	-	-	-	-14.50%	44.50%	-	-1.35%	-	-	23.41%	-	-	-	-	-	-	-	26.27M	-	-	0.26	-	12.56 - 17.80	-22.62%	9.63%	55.30	0.60	48.20K	3.92%	-3.71%	-12.74%	-17.25%	-15.13%	-19.76%	-	0.29	1.71% 2.07%	13.70	-
JPI	19.06	19.25	-	438.25M	 Term Fund Stock Quote	-	-	-	1.57	8.16%	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-0.52%	-	-	-	-	-	-	-	-	-	-	-4.19%	-	-	16.48%	-	-	-	-	-	-	-	22.77M	-	-	0.41	-	18.77 - 26.48	-27.30%	2.56%	41.96	0.60	55.62K	0.21%	-7.63%	-11.37%	-24.27%	-24.66%	-25.62%	-	0.28	1.21% 1.35%	19.16	-
CHCI	4.41	4.54	-	37.18M	17.70M	33.00M	2.41	1.42	-	-	152	No	Yes	-	2.17	-	0.22	1.13	1.88	3.21	5.09	-	-	0.00	0.27	-1.40%	2.09	-	-	603.30%	10.00%	21.30%	-5.60%	27.90%	417.70%	-	-0.06%	2.80%	0.00%	7.10%	35.70%	81.90%	67.80%	22.70%	18.20%	45.80%	0.00%	8.34M	1.62M	0.71%	1.86	7.00	3.86 - 6.69	-32.14%	17.62%	47.67	0.07	6.24K	0.44%	5.83%	-16.08%	-6.00%	-21.18%	-6.39%	1.19	0.20	4.18% 4.75%	4.42	7.00
VVPR	1.36	1.45	-	28.30M	-7.60M	40.40M	2.01	0.44	-	-	255	Yes	Yes	2.00	-	-	-	0.70	0.72	3.29	-	1.70	1.80	0.57	0.55	-13.21%	-0.39	-0.52	-0.22	-23.30%	-	-21.40%	4.60%	-11.30%	-	-	0.01%	60.30%	0.00%	1.20%	-	-	-14.30%	15.70%	-	-	-	19.52M	8.19M	2.34%	0.40	5.00	0.98 - 7.21	-79.89%	47.96%	46.09	0.20	482.40K	4.32%	-9.38%	-18.31%	-53.53%	-79.20%	-52.46%	3.84	0.18	5.72% 13.80%	1.37	5.00
VIRT	22.48	22.66	-	3.93B	338.50M	2.50B	12.61	3.25	0.96	4.24%	973	Yes	Yes	2.40	7.63	6.15	-	1.57	1.80	6.96	5.90	-	-	6.43	2.23	-3.08%	2.97	3.69	0.87	-24.30%	-2.71%	36.20%	32.00%	-30.70%	-47.90%	Jul 28 BMO	-11.62%	0.70%	-85.92%	89.80%	3.10%	22.60%	9.90%	63.70%	30.00%	13.50%	32.10%	109.33M	103.49M	3.49%	2.27	37.62	22.45 - 38.63	-41.34%	0.91%	29.93	0.47	1.59M	-3.20%	-5.70%	-39.46%	-21.02%	-16.14%	-21.40%	-0.11	0.68	2.93% 2.74%	22.55	37.62
STZ	242.02	242.17	S&P 500	45.51B	1.26B	9.16B	59.57	0.54	3.20	1.32%	10000	Yes	Yes	2.00	39.50	19.23	3.65	4.97	4.07	447.02	42.83	0.70	1.40	0.98	0.92	1.93%	6.13	12.60	2.77	-102.30%	10.82%	-15.20%	3.80%	16.60%	139.10%	Jun 30 BMO	-0.05%	0.10%	-13.07%	86.70%	4.90%	11.10%	9.00%	52.90%	33.10%	13.70%	34.20%	188.54M	175.12M	1.69%	2.70	273.25	207.35 - 261.52	-7.40%	16.79%	53.13	0.63	1.10M	3.91%	-1.65%	4.47%	-4.42%	6.68%	-3.51%	1.04	5.65	2.32% 2.27%	241.61	273.25
TYRA	10.18	10.51	-	428.07M	-36.90M	-	7.01	7.18	-	-	25	Yes	Yes	1.30	-	-	-	-	1.50	1.46	-	60.00	60.00	0.00	0.00	51.19%	-1.39	-1.67	-0.30	-705.30%	-	-	-	-	-234.00%	-	39.40%	8.70%	0.00%	96.70%	-13.90%	-16.80%	-	-	-	-	-	41.55M	38.13M	5.13%	28.87	21.67	4.93 - 31.36	-66.49%	113.18%	68.40	0.54	67.77K	46.99%	45.37%	-0.10%	-12.49%	-	-25.30%	-	1.26	22.40% 18.95%	10.25	21.67
KT	14.06	14.1	-	7.39B	1.13B	19.38B	24.37	6.00	0.76	5.35%	23371	Yes	Yes	1.00	5.88	-	1.43	0.38	0.58	2.35	1.97	1.20	1.20	0.67	0.54	0.13%	2.40	-	-	114.60%	4.10%	12.10%	1.80%	4.10%	36.40%	May 06 BMO	-0.96%	5.90%	0.00%	23.60%	4.10%	10.00%	5.20%	61.00%	7.90%	5.80%	0.00%	471.62M	468.78M	0.38%	1.76	18.75	12.33 - 15.30	-7.84%	14.36%	48.15	0.96	1.01M	1.00%	-5.05%	-6.62%	12.35%	1.29%	12.17%	0.72	0.24	1.41% 1.57%	14.10	18.75
GFGDU	9.83	9.83	-	-	-	-	0.00	-	-	-	-	No	Yes	-	-	-	-	-	2457.50	-	-	-	-	-	-	-0.40%	-	-	-	-	-	-	-	-	-	-	-1.07%	-	-	85.67%	-	-	-	-	-	-	-	-	21.48M	0.00%	0.13	-	9.76 - 11.14	-11.76%	0.72%	46.58	0.00	3.12K	-1.31%	-0.51%	-1.01%	-	-	-1.50%	-	0.16	0.57% 1.61%	9.83	-
TTEC	66.91	67.43	-	3.17B	124.00M	2.32B	11.39	3.33	1.00	1.48%	62000	Yes	Yes	1.90	25.79	12.65	2.10	1.37	5.92	20.25	36.28	1.60	1.60	0.00	1.50	1.49%	2.62	5.33	0.85	17.80%	12.25%	33.40%	12.30%	9.20%	-33.80%	May 04 AMC	0.83%	1.10%	-0.48%	39.20%	6.10%	24.00%	12.70%	25.50%	8.30%	5.30%	34.10%	47.01M	18.69M	4.93%	8.58	90.29	58.99 - 113.37	-40.52%	14.31%	50.77	0.44	107.32K	-0.68%	-2.74%	-13.47%	-23.11%	-32.95%	-25.53%	0.87	2.42	3.11% 3.50%	67.49	90.29
CRNC	27.1	26.31	-	1.08B	32.40M	375.60M	26.95	3.43	-	-	1700	Yes	Yes	2.60	32.52	11.12	2.17	2.89	0.98	7.66	29.16	1.70	1.70	0.26	0.25	-2.07%	0.81	2.37	0.46	332.30%	15.00%	4.00%	12.90%	-12.60%	-104.30%	May 10 BMO	-7.68%	1.40%	-1.77%	97.91%	1.90%	3.10%	4.50%	74.30%	14.60%	8.60%	0.00%	39.19M	38.55M	14.40%	10.85	44.58	24.35 - 125.73	-79.07%	8.05%	45.20	0.41	511.98K	4.28%	-11.20%	-23.03%	-66.62%	-77.00%	-65.67%	-	1.49	5.63% 4.92%	27.60	44.58
AIH	2.48	2.45	-	59.90M	-75.10M	100.20M	-1.04	0.19	-	-	1451	No	Yes	2.00	-	-	-	0.60	-	13.02	-	0.10	0.20	-	-	27.72%	-3.46	-	-	-167.40%	-	-	2.00%	-55.70%	95.60%	Jun 29 BMO	36.97%	-	-	3.00%	-	-	-259.20%	46.40%	-	-	-	21.99M	4.21M	1.61%	3.07	-	1.17 - 7.67	-68.06%	109.39%	66.35	1.37	22.09K	15.02%	50.30%	47.58%	-32.51%	-64.65%	-29.60%	-	0.21	14.57% 8.98%	2.54	-
HCTI	1.08	1.09	-	38.40M	-7.10M	38.40M	0.41	0.05	-	-	73	No	Yes	2.00	-	-	-	1.00	2.66	24.00	-	1.20	1.20	0.19	0.00	9.88%	-3.95	-0.12	-0.05	-434.50%	-	-	-	38.70%	-170.90%	-	30.63%	76.46%	0.00%	0.60%	-39.90%	-75.70%	-27.70%	29.30%	-17.20%	-18.60%	-	35.51M	8.11M	1.52%	0.24	4.00	0.61 - 4.35	-74.94%	78.66%	59.43	0.11	524.33K	9.00%	42.86%	-10.66%	-40.44%	-	-39.78%	-	0.14	13.36% 16.85%	1.08	4.00
BFST	21.57	21.49	-	487.18M	48.50M	170.30M	21.73	16.45	0.48	2.23%	648	No	Yes	1.40	9.18	7.26	-	2.86	0.99	1.31	12.03	-	-	0.25	0.25	0.72%	2.34	2.96	0.56	53.70%	-	29.30%	31.50%	-0.50%	-30.60%	Apr 26 AMC	-1.39%	5.50%	-0.04%	31.10%	1.00%	11.10%	25.70%	-	86.80%	28.50%	20.40%	21.02M	-	-	4.42	30.40	20.19 - 29.50	-27.15%	6.44%	48.12	0.57	44.50K	0.84%	-3.72%	-6.97%	-24.89%	-4.49%	-24.09%	0.83	0.53	2.43% 2.56%	21.59	30.40
AXSM	45.11	45.6	-	1.76B	-140.80M	-	0.38	2.20	-	-	108	Yes	Yes	1.80	-	-	-	-	120.00	20.73	-	3.50	3.50	0.00	3.35	50.64%	-3.72	-2.52	-1.17	-25.30%	-	-19.50%	-	-	-32.30%	May 02 BMO	53.82%	20.56%	0.00%	50.30%	-129.10%	-389.70%	-	-	-	-	-	38.32M	30.90M	16.93%	3.15	83.38	19.38 - 66.13	-31.04%	135.29%	76.64	0.89	1.66M	19.06%	60.06%	-2.40%	37.43%	-29.64%	20.70%	2.06	3.20	7.47% 9.03%	45.11	83.38
ORC	2.94	2.87	-	519.01M	-184.10M	-167.66M	3.35	1.64	0.54	18.82%	-	Yes	Yes	2.30	-	5.04	-	-	0.86	1.75	6.50	-	-	7.54	0.00	0.56%	-1.07	0.57	0.18	-21.50%	-	-53.50%	-	-	-144.20%	Apr 28 AMC	-2.37%	0.20%	0.00%	21.60%	-3.10%	-27.80%	-	-	-	-	-	177.00M	176.68M	6.47%	3.76	3.88	2.44 - 5.29	-45.75%	17.62%	47.88	0.94	3.04M	0.70%	-10.03%	-6.51%	-37.20%	-43.28%	-36.22%	1.29	0.12	3.37% 4.45%	2.93	3.88
NVCR	74.05	74.42	-	7.87B	-58.90M	537.90M	4.18	8.81	-	-	1167	Yes	Yes	2.60	-	-	-	14.63	17.80	8.44	218.65	8.20	8.50	1.29	1.29	8.64%	-0.57	-0.63	-0.15	-819.30%	-	18.20%	45.20%	2.10%	-10.90%	Jul 28 BMO	2.87%	1.10%	-3.77%	79.00%	-5.20%	-14.20%	-5.20%	78.40%	-8.40%	-10.90%	-	104.19M	90.68M	8.36%	10.94	100.12	56.39 - 195.78	-61.99%	31.97%	54.10	0.49	693.28K	7.08%	-5.22%	-12.75%	3.00%	-61.18%	-0.88%	0.95	4.31	5.78% 6.22%	75.26	100.12
PNW	71.47	70.87	S&P 500	8.06B	563.50M	3.89B	52.44	0.12	3.40	4.80%	91	Yes	Yes	3.50	14.24	16.90	142.40	2.07	1.35	575.67	-	0.80	1.00	1.26	1.22	-0.27%	4.98	4.19	1.41	16.20%	0.10%	5.40%	1.70%	12.50%	-52.50%	Aug 03 BMO	-3.58%	0.10%	-2.98%	89.60%	2.80%	10.20%	5.00%	-	20.90%	15.40%	63.20%	113.10M	112.72M	2.46%	3.69	71.36	62.78 - 86.87	-18.42%	12.89%	44.67	0.93	750.90K	-3.08%	-8.22%	-11.95%	1.46%	-14.68%	0.40%	0.33	1.97	2.98% 3.06%	71.32	71.36
SGMA	7.46	8	-	44.72M	10.80M	355.70M	18.42	0.55	-	-	3200	No	Yes	-	3.21	-	-	0.13	0.43	14.43	-	0.40	1.60	0.68	0.63	15.03%	2.49	-	-	245.20%	-	-6.20%	1.80%	31.00%	-	-	20.37%	1.30%	0.00%	13.00%	4.60%	14.90%	2.70%	11.80%	4.30%	3.00%	0.00%	4.73M	4.59M	5.85%	6.55	-	4.74 - 17.30	-53.76%	68.78%	67.28	1.36	41.01K	13.31%	5.40%	17.47%	-15.79%	68.42%	-22.56%	1.00	0.50	7.22% 7.02%	7.43	-
PCGU	97.68	98.45	-	-	-	21.72B	10.31	-	-	-	26000	No	Yes	-	-	-	-	-	9.55	-	-	-	-	-	-	0.31%	-0.19	-	-	-	-	-	-	22.90%	295.80%	-	-8.43%	-	-	-	-	-	-	-	-	-	-	-	1.61B	0.00%	0.04	16.65	86.26 - 122.56	-19.67%	14.13%	44.80	0.41	51.96K	2.98%	-12.86%	-13.32%	-13.47%	-2.94%	-14.89%	-	2.27	1.28% 2.18%	97.73	16.65
CMCO	28.43	28.44	-	816.23M	29.70M	906.60M	27.12	4.02	0.28	0.98%	3224	Yes	Yes	1.70	28.16	7.93	1.22	0.90	1.05	7.07	27.95	1.20	1.90	0.66	0.61	-4.44%	1.01	3.59	0.79	177.20%	23.00%	19.40%	7.30%	36.10%	7.30%	May 25 BMO	-12.44%	1.80%	-9.19%	-	1.80%	4.00%	3.90%	35.20%	6.50%	3.30%	23.40%	28.50M	27.88M	2.02%	3.84	46.29	27.18 - 54.20	-47.53%	4.64%	38.98	0.61	146.40K	0.25%	-17.13%	-27.85%	-41.43%	-37.67%	-38.52%	1.20	1.55	5.24% 4.90%	28.59	46.29
